"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"AggregatorHost";"0";"168";"2203398135808";"10936320";"2813952";"11344";;;;;;;;"Process";"8";;;;;;"168";"9084";".";"0";"";;;;;"11344";"11344";"2813952";"2813952";"92872";"92872";"3227648";"3227648";"13660160";"13660160";"96591872";"2203414814720";;;"2813952";"2813952";;"AggregatorHost";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"79912960";"2203398135808";"False";;;;"10936320";"10936320";;
"AircommandEngine";"2";"205";"4408958976";"10493952";"2748416";"18488";;;;;;;;"Process";"8";;;;;;"205";"16064";".";"0";"";;;;;"18488";"18488";"2748416";"2748416";"153416";"153416";"3002368";"3002368";"12640256";"12640256";"123031552";"4417998848";;;"2748416";"2748416";;"AircommandEngine";;"True";"2";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"113991680";"4408958976";"False";;;;"10493952";"10493952";;
"AircommandService";"0";"106";"4364103680";"6168576";"1441792";"7808";;;;;;;;"Process";"8";;;;;;"106";"5252";".";"0";"";;;;;"7808";"7808";"1441792";"1441792";"63776";"63776";"2035712";"2035712";"7335936";"7335936";"72998912";"4367966208";;;"1441792";"1441792";;"AircommandService";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"69136384";"4364103680";"False";;;;"6168576";"6168576";;
"ApplicationFrameHost";"2";"392";"2203587166208";"31129600";"13275136";"23520";"C:\Windows\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"0.09375";"10.0.22621.2506 (WinBuild.160101.0800)";"10.0.22621.2506";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"4016";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"392";"24788";".";"263886";"Settings";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"23520";"23520";"13275136";"13275136";"399256";"399256";"13430784";"13430784";"38363136";"38363136";"299601920";"2203617824768";"True";"Normal";"13275136";"13275136";"00:00:00.0468750";"ApplicationFrameHost";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:14:26";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0937500";"00:00:00.0468750";"268943360";"2203587166208";"False";;;;"31129600";"31129600";;
"AppVShNotify";"2";"161";"2203427569664";"8355840";"1904640";"9144";"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe";"Microsoft Corporation";"0.015625";"10.0.22000.2116 (WinBuild.160101.0800)";"10.0.22000.2116";"Microsoft Application Virtualization Client Shell Notifier";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"4028";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"161";"1064";".";"0";"";"System.Diagnostics.ProcessModule (AppVShNotify.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9144";"9144";"1904640";"1904640";"151816";"151816";"2125824";"2125824";"9658368";"9658368";"113274880";"2203431497728";"True";"Normal";"1904640";"1904640";"00:00:00.0156250";"AppVShNotify";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 15:38:26";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0156250";"00:00:00";"109346816";"2203427569664";"False";;;;"8355840";"8355840";;
"ArcControl";"2";"727";"2272573726720";"90849280";"43466752";"34352";;;"14.859375";;;;;"Process";"8";;;;;;"727";"25720";".";"0";"";;;;;"34352";"34352";"43466752";"43466752";"918848";"918848";"44384256";"44384256";"120496128";"120496128";"572649472";"2272610349056";;;"43466752";"43466752";"00:00:06.5468750";"ArcControl";;"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:25";;"System.Diagnostics.ProcessThreadCollection";"00:00:14.8593750";"00:00:08.3125000";"536027136";"2272573726720";"False";;;;"90849280";"90849280";;
"ArcControlAssist";"2";"425";"73521659904";"81240064";"17096704";"45032";"C:\Program Files\Intel\Intel Arc Control\ArcControlAssist.exe";"Intel Corporation";"0.484375";"1.73.5335.2";"1.73.5335.2";"Intel(R) Arc(TM) Control Assist";"Intel(R) Arc(TM) Control";"Process";"10";;"False";;"4088";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"425";"25808";".";"0";"";"System.Diagnostics.ProcessModule (ArcControlAssist.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"45032";"45032";"17096704";"17096704";"861072";"861072";"19247104";"19247104";"115781632";"115781632";"538312704";"73552756736";"True";"AboveNormal";"17096704";"17096704";"00:00:00.1875000";"ArcControlAssist";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:25";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.4843750";"00:00:00.2968750";"507215872";"73521659904";"False";;;;"81240064";"81240064";;
"ArcControlAssist";"2";"314";"73409261568";"19574784";"9605120";"21752";"C:\Program Files\Intel\Intel Arc Control\ArcControlAssist.exe";"Intel Corporation";"0.0625";"1.73.5335.2";"1.73.5335.2";"Intel(R) Arc(TM) Control Assist";"Intel(R) Arc(TM) Control";"Process";"8";;"False";;"3280";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"314";"25864";".";"0";"";"System.Diagnostics.ProcessModule (ArcControlAssist.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"21752";"21752";"9605120";"9605120";"697104";"697104";"9691136";"9691136";"22204416";"22204416";"397963264";"73412407296";"True";"Normal";"9605120";"9605120";"00:00:00.0312500";"ArcControlAssist";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:25";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0625000";"00:00:00.0312500";"394817536";"73409261568";"False";;;;"19574784";"19574784";;
"ArcControlAssist";"2";"403";"73421512704";"29057024";"12517376";"24640";"C:\Program Files\Intel\Intel Arc Control\ArcControlAssist.exe";"Intel Corporation";"0.53125";"1.73.5335.2";"1.73.5335.2";"Intel(R) Arc(TM) Control Assist";"Intel(R) Arc(TM) Control";"Process";"8";;"False";;"3872";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"403";"25884";".";"0";"";"System.Diagnostics.ProcessModule (ArcControlAssist.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"24640";"24640";"12517376";"12517376";"702616";"702616";"12656640";"12656640";"30154752";"30154752";"411262976";"73425707008";"True";"Normal";"12517376";"12517376";"00:00:00.3281250";"ArcControlAssist";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:25";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5312500";"00:00:00.2031250";"407068672";"73421512704";"False";;;;"29057024";"29057024";;
"ArcControlAssist";"2";"954";"89799249920";"213368832";"202919936";"60960";"C:\Program Files\Intel\Intel Arc Control\ArcControlAssist.exe";"Intel Corporation";"523.6875";"1.73.5335.2";"1.73.5335.2";"Intel(R) Arc(TM) Control Assist";"Intel(R) Arc(TM) Control";"Process";"8";;"False";;"3968";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"954";"26000";".";"0";"";"System.Diagnostics.ProcessModule (ArcControlAssist.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"60960";"60960";"202919936";"202919936";"1308520";"1308520";"220762112";"220762112";"261234688";"261234688";"-222228480";"89972084736";"True";"Normal";"202919936";"202919936";"00:01:26.2031250";"ArcControlAssist";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:26";;"System.Diagnostics.ProcessThreadCollection";"00:08:43.6875000";"00:07:17.4843750";"-395063296";"89799249920";"False";;;;"213368832";"213368832";;
